CD_setor;V01006;V01007;V01008;V01009;V01010;V01011;V01012;V01013;V01014;V01015;V01016;V01017;V01018;V01019;V01020;V01021;V01022;V01023;V01024;V01025;V01026;V01027;V01028;V01029;V01030;V01031;V01032;V01033;V01034;V01035;V01036;V01037;V01038;V01039;V01040;V01041
352440205000127;780;386;394;22;34;28;42;28;29;49;54;55;29;16;25;34;30;31;29;22;61;60;43;42;17;47;68;58;73;57;51;110;114;98;71;33
352440205000129;566;287;279;19;24;19;24;22;14;52;37;24;36;16;14;25;17;19;17;21;49;40;27;29;21;33;49;36;43;39;35;101;77;51;65;37
352440205000133;467;208;259;7;17;15;7;13;22;44;31;20;23;9;11;14;11;15;18;16;39;48;35;23;29;18;31;26;22;31;38;83;79;55;46;38
352440205000136;550;265;285;7;15;16;30;21;18;38;45;37;23;15;13;14;9;17;19;19;43;49;41;36;25;20;29;25;47;40;37;81;94;78;59;40
352440205000139;567;259;308;8;13;14;16;20;17;33;45;31;24;38;9;15;25;16;19;13;43;42;34;52;40;17;28;39;32;39;30;76;87;65;76;78
352440205000140;439;201;238;14;6;14;12;8;10;29;34;26;21;27;8;6;14;15;13;9;29;38;31;40;35;22;12;28;27;21;19;58;72;57;61;62
352440205000141;435;200;235;14;8;6;12;18;11;34;34;22;23;18;11;12;13;16;15;14;39;36;16;37;26;25;20;19;28;33;25;73;70;38;60;44
352440205000142;504;245;259;10;21;12;13;17;19;36;43;29;23;22;7;13;9;17;14;15;35;49;32;31;37;17;34;21;30;31;34;71;92;61;54;59
352440205000143;475;232;243;X;7;23;X;22;18;29;40;37;25;27;5;15;7;6;15;12;27;37;41;39;39;7;22;30;8;37;30;56;77;78;64;66
352440205000144;759;366;393;19;29;24;19;25;22;60;61;43;33;31;15;17;26;20;24;19;68;61;50;56;37;34;46;50;39;49;41;128;122;93;89;68
352440205000147;654;319;335;9;14;16;17;20;22;34;43;48;36;60;14;14;17;14;14;10;33;41;43;55;80;23;28;33;31;34;32;67;84;91;91;140
352440205000148;554;251;303;15;14;14;17;16;16;33;30;30;31;35;14;15;19;13;25;16;34;41;34;45;47;29;29;33;30;41;32;67;71;64;76;82
352440205000149;458;228;230;12;11;5;11;14;18;31;34;37;26;29;6;13;8;12;15;12;25;27;32;42;38;18;24;13;23;29;30;56;61;69;68;67
352440205000150;693;341;352;19;18;29;24;26;31;48;45;32;38;31;17;16;17;30;24;19;58;39;41;55;36;36;34;46;54;50;50;106;84;73;93;67
352440205000151;519;245;274;10;13;18;12;22;22;35;38;26;24;25;15;12;15;18;17;18;29;44;40;38;28;25;25;33;30;39;40;64;82;66;62;53
352440205000152;474;228;246;13;7;8;7;19;21;37;33;41;26;16;12;8;8;11;14;23;34;50;47;23;16;25;15;16;18;33;44;71;83;88;49;32
352440205000153;470;231;239;14;11;14;15;15;14;41;29;29;26;23;11;16;12;13;15;14;35;24;34;31;34;25;27;26;28;30;28;76;53;63;57;57
352440205000154;327;159;168;6;10;9;11;12;11;27;22;19;15;17;11;4;13;7;17;12;24;23;21;20;16;17;14;22;18;29;23;51;45;40;35;33
352440205000158;802;395;407;18;16;26;31;31;36;47;61;65;47;17;20;18;30;27;23;29;62;60;78;42;18;38;34;56;58;54;65;109;121;143;89;35
352440205000159;705;343;362;25;19;18;28;35;45;42;49;43;29;10;23;17;23;17;38;28;48;45;83;22;18;48;36;41;45;73;73;90;94;126;51;28
352440205000161;882;415;467;33;34;29;32;37;35;77;43;55;23;17;37;35;33;37;45;44;55;58;73;26;24;70;69;62;69;82;79;132;101;128;49;41
